Symbol,Date,Time,CompanyName,Title,sentiment_label,sentiment_score,sentiment_category,sentiment_sub_category,sentiment_explanation,sentiment_flags
FFC,2026-03-18,1:24 PM,Fauji Fertilizer Company Limited,Video of First Corporate Briefing (CBS) for Year 2026 - FFC,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
MCB,2026-03-18,11:06 AM,MCB Bank Limited,Newspaper Cuttings of Ballot Paper for Voting through Post,neutral,0.97,Admin,voting_material,AGM/EGM voting material or postal ballot,ballot_voting
POL,2026-03-18,1:00 PM,Pakistan Oilfields Limited,Credit of interim cash dividend 2025-26,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
UBL,2026-03-18,1:20 PM,United Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
UBL,2026-03-18,12:20 PM,United Bank Limited,Notice of Election of Directors,neutral,0.97,Corporate Event,election_of_directors,Election or re-election of board directors,election_directors
UBL,2026-03-18,12:09 PM,United Bank Limited,Board Meeting Other Than Financial Results,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
UBL,2026-03-18,10:09 AM,United Bank Limited,"DISCLOSURE OF INTEREST BY THE DIRECTORS, CEO, EXECUTIVES, THEIR SPOUSES AND SUBSTANTIAL SHAREHOLDERS OF LISTED COMPANIES",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
ATRL,2026-03-17,12:13 PM,Attock Refinery Limited,CREDIT OF INTERIM CASH DIVIDEND,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
FABL,2026-03-17,10:11 AM,Faysal Bank Limited,Board of Directors Meeting other than Financial Results of Faysal Bank Limited,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FFC,2026-03-17,8:46 AM,Fauji Fertilizer Company Limited,Final Presentation of First Corporate Briefing Session (CBS) of Year 2026 - Fauji Fertilizer Company Limited,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HBL,2026-03-17,11:14 AM,Habib Bank Limited,Board Meeting Other Than Financial Results,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
MCB,2026-03-17,10:57 AM,MCB Bank Limited,Text of Ballot Paper for Voting through Post - Prior to Publication,neutral,0.97,Admin,voting_material,AGM/EGM voting material or postal ballot,ballot_voting
MLCF,2026-03-17,1:23 PM,Maple Leaf Cement Factory Limited,MLCF-Enquiry on News- Published in Print-Electronic Media 17.03.2026,neutral,0.92,Admin,newspaper_publication,Newspaper advertisement or notice publication,newspaper_notice
NBP,2026-03-17,11:04 AM,National Bank of Pakistan,BALLOT PAPER FOR VOTING THROUGH POST,neutral,0.97,Admin,voting_material,AGM/EGM voting material or postal ballot,ballot_voting
OGDC,2026-03-17,12:07 PM,Oil & Gas Development Company Limited,Credit of Second Interim Cash Dividend D-97,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
CHCC,2026-03-16,9:56 AM,Cherat Cement Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
FFC,2026-03-16,1:25 PM,Fauji Fertilizer Company Limited,First Corporate Briefing (CBS) - 2026,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
FFC,2026-03-16,1:10 PM,Fauji Fertilizer Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
PAEL,2026-03-16,1:05 PM,Pak Elektron Limited,Financial Results for the Year Ended 31-12-2025,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
TGL,2026-03-16,9:16 AM,Tariq Glass Industries Limited,Credit of Interim Cash Dividend,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
UBL,2026-03-16,11:30 AM,United Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
FFC,2026-03-13,11:39 AM,Fauji Fertilizer Company Limited,Presentation of First Corporate Briefing 2026,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
